pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
youth,shop_deli,drive,900s,,,,,38514.54102699999,29059.561036,4346.825616,64601.51799899999,92784.624565,26604.720523999997,
children_u5,shop_deli,drive,900s,,,,,7382.855850999999,5604.526768,997.664613,11262.266934,16964.297407000002,6158.762788999999,
women_rep,shop_deli,drive,900s,,,,,45006.38881,36051.812083,5424.199946000001,68651.156568,112637.382651,31427.780458,
elderly,shop_deli,drive,900s,,,,,8515.719484,6343.488173999999,875.9567380000001,13017.418093,20183.986377,5388.303968,
total,shop_beverages,drive,300s,,26582.569609000002,11420.659677,36278.593725,914.333564,8325.149833,34801.64789,60105.225726000004,97509.94940900002,,11625.431392999999
men,shop_beverages,drive,300s,,12521.626011999997,5537.542122,17050.627275000003,439.722144,3893.8476010000004,16241.53496,29308.958544,45710.56275800001,,5456.676366
women,shop_beverages,drive,300s,,14060.943597,5883.117576000001,19227.96645,474.61142,4431.302232,18560.112930000003,30796.267704,51799.386651,,6168.755027000001
youth,shop_beverages,drive,300s,,7546.309287,3251.2945919999997,10653.987465,257.827478,2415.8348129999995,9807.290355000001,18327.363972,28755.944523000002,,3385.4754209999996
children_u5,shop_beverages,drive,300s,,2155.295362,995.3772359999998,2853.843465,78.80895299999999,477.197119,2466.630316,3967.88166,5271.631059,,908.3480929999998
women_rep,shop_beverages,drive,300s,,9341.968222000001,3773.4592139999995,13139.638215,306.738974,3002.4186290000002,12387.343275,19994.632968,34939.495474999996,,4197.564571000001
elderly,shop_beverages,drive,300s,,1098.4908899999998,446.15325300000006,1458.9169650000003,36.293898,522.85723,1899.951231,3303.892062,6250.847566,,489.60034300000007
total,shop_beverages,drive,600s,,93687.855825,46242.762506,103300.223915,66139.81962899999,65339.004889,110250.87824600001,311826.68617199996,262616.28521500004,15527.920544999997,59162.47873999999
men,shop_beverages,drive,600s,,44156.916897,22315.156904999996,48550.217484999994,31511.702485,30571.024858000004,51418.249472999996,152150.35709499998,123129.62836199999,7468.003479999999,27711.156619999998
women,shop_beverages,drive,600s,,49530.938928,23927.605622000003,54750.00643000001,34628.117179,34767.980031,58832.628773000004,159676.332106,139486.656858,8059.917065,31451.32212
youth,shop_beverages,drive,600s,,26587.226660999997,13075.949375000002,30336.327231,19344.153085,19010.586073,30831.981449999992,96085.39445799998,77467.669989,4482.511508,16997.167428
children_u5,shop_beverages,drive,600s,,7619.126151,3988.4934550000003,8126.077631,4187.905823,3718.919441,8157.2572169999985,19464.951544999996,14181.725841,1041.034499,4572.675907999999
women_rep,shop_beverages,drive,600s,,32882.625897000005,15403.001039000002,37414.007281000006,22793.512634,23585.630634,39197.49734999999,103903.2347,94085.184469,5328.683598,21256.120828000003
elderly,shop_beverages,drive,600s,,3858.7644630000004,1847.7249680000002,4154.142531000001,3873.0294810000005,4100.9740409999995,5810.064539,17990.548293,16845.95383,908.091574,2670.701108
total,shop_beverages,drive,900s,,157657.95834,159045.78536500002,145153.175535,223040.40448899998,184088.922281,182269.26878800004,487779.98630199995,314904.803056,159490.862501,112966.51416699999
men,shop_beverages,drive,900s,,74289.808917,76573.54372400002,68220.745065,106125.929803,86127.081282,84990.090582,237957.99683100003,147670.976983,76981.98901,52926.604124
women,shop_beverages,drive,900s,,83368.14942300001,82472.24166199999,76932.43046999999,116914.47472400001,97961.84099900001,97279.17820600001,249821.994226,167233.82608,82508.873515,60039.910043
youth,shop_beverages,drive,900s,,44747.17830599999,45101.578259,42627.344499,65083.219172,53568.816072999995,50881.763999999996,150451.88661399996,92907.407719,46045.524463,32511.173403
children_u5,shop_beverages,drive,900s,,12805.775421000002,13214.452151000003,11418.426098999998,14171.913265,10390.839177,13585.395574999997,30157.442998000002,16997.541009,10866.751488,8743.335930999998
women_rep,shop_beverages,drive,900s,,55363.773267000004,53253.449637,52572.605949000004,77008.99263,66457.44422599999,64780.69179999999,162650.17486199999,112794.083905,54400.951433,40612.679453000004
elderly,shop_beverages,drive,900s,,6502.2476130000005,6781.306888,5837.228199,13027.302849999998,11633.493309,9556.438047,28379.684466000002,20206.966228999998,9231.389904,5055.9957810000005
total,shop_butcher,drive,300s,10933.815663,40108.909918,43877.144349,64978.130079999995,387.69759100000005,97745.35441,42425.478019,8472.682881,,1513.7299440000002,51174.46141500001
men,shop_butcher,drive,300s,5351.037262,18893.028564999997,21242.247755,30539.162720000004,182.62358799999998,45728.456085,19781.549403,4101.881095,,732.84228,24043.78872
women,shop_butcher,drive,300s,5582.7784010000005,21215.881353000004,22634.896593999998,34438.96736000001,205.074003,52016.898325,22643.928616000005,4370.801786000001,,780.8876640000001,27130.672694999997
youth,shop_butcher,drive,300s,3014.083032,11386.485407999999,12252.699781,19082.222111999996,110.060313,28438.816278,11830.129191,2365.998089,,422.70933599999995,14997.539402999999
children_u5,shop_butcher,drive,300s,881.6662640000001,3250.970885,4073.287641,5111.4829119999995,31.434238,5495.3666840000005,3199.9475789999997,786.552429,,140.52549599999998,4018.951082999999
